,top,bottom
N06137,3598869,3599069
N15122,4068821,4069351
N06235,3476689,3476559
N15483,3822611,3822821
N09133,3491469,3486879
N02935,2630398,2500958
N15628,3930101,3897041
N03216,2145207,2523938
N06627,3389259,3342579
N00969,2691128,2727388
N07666,3427909,3425639
N00349,2777448,2777238
N06497,3333829,3334079
N03932,2475928,2475938
N02584,2696028,2787448
N02142,2695558,2762358
N07379,3600789,3545829
N09533,3910311,3910441
N09147,3430139,3430319
N00790,2606648,2785278
N06984,3362449,3362669
N08654,3456459,3486009
N16421,3960531,3960721
N01893,2607188,2378897
N10602,4016721,4016511
N09409,3926731,4000341
N14387,4156691,4165111
N14878,4108261,4066601
N15671,4153001,4153881
N07829,3803779,3754609
N00491,2706878,2503908
N03131,2792608,2135167
N04557,2475958,2475938
N10912,4075721,4075811
N01782,2917018,2917138
N04159,2770718,2783008
N00967,2776578,2794128
N01020,2812308,2605758
N04990,2904388,2475938
N02207,2591778,2623458
N04598,3044838,3004238
N14472,4251561,4251801
N10946,4235911,4236011
N03748,2671098,2417377
N06291,3406939,3417889
N01097,2527248,2527368
N15962,3961751,3961921
N07050,3768299,3767799
N07576,3423719,3423629
N15715,4071811,4072571
N00865,2907998,2908858
N03417,2552198,2592108
N03983,2831378,2833858
N11592,3860421,4032531
N10613,3978201,3972401
N08214,3584649,2936078
N03371,2568808,2605758
N09197,3427169,3426989
N05994,3488769,3384719
N14907,3962671,3963001
N16613,3947431,3992941
N15116,4068311,4069351
N02576,2761008,2761028
N08606,3392979,3365269
N07796,3463479,3463769
N05115,2616338,2594078
N05362,3784299,3784709
N04274,2900238,2997818
N00623,2789458,2820528
N04297,3060178,2911458
N03828,1832163,2553228
N09342,3782159,3882141
N15084,4187661,4013831
N02112,2751968,2642568
N05591,3433139,3432969
N07904,3462389,3732309
N06986,3750409,3750439
N03486,2546028,2320247
N10984,4186541,4188511
N08158,3471269,3471499
N14404,4308971,4308621
N08723,3389469,3709359
N06408,3339939,3670149
N16943,3767829,3767819
N07011,3750339,3750439
N14947,3686669,3686699
N11274,3997581,3995631
N16874,3884381,4032051
N15993,4150521,4089131
N10180,3870581,4000361
N04331,2895548,3074308
N02620,2651928,2643938
N09557,3885831,4032051
N09841,3214329,3023728
N06436,3669709,3670569
N15592,3870471,4262221
N15306,4187431,3956001
N07687,3435179,3433549
N04957,2907888,2908438
N08976,3770229,3770079
N10625,4152821,4154141
N07036,3768309,3768349
N11052,4097331,4230681
N00912,2625728,2779958
N15191,4128091,4205781
N15250,3861081,3861891
N02202,2796468,2542348
N14602,4062181,4061941
N03620,2641968,2707768
N16394,3951061,3951431
N08629,3830141,3830241
N15435,4251401,4013821
N15400,4171001,4171041
N08714,3339949,3340699
N00242,2554048,2553868
N15341,4170881,4169891
N11648,4023401,4000021
N03642,2521798,2550168
N15923,3926731,3925791
N15218,3817159,3817239
N10266,3951261,3954551
N11105,4275761,4275821
N00600,2627838,2630518
N07507,3471279,3455799
N07960,3583919,3595969
N10030,3955101,3955321
N01993,2502988,2645738
N11450,3967951,3920591
N16804,3960571,3920261
N10122,3943351,3943441
N14839,3925301,3926131
N03133,2792618,2135167
N04986,2783808,2492928
N01214,2690018,2548438
N04131,2329407,2320247
N11635,4063851,3910791
N16375,3956901,3956481
N14803,4127231,4096841
N02687,2552928,2765488
N01439,3156338,2908228
N04135,2651928,2765618
N04582,2903738,3023848
N10391,3765889,4149431
N16358,4152211,3972401
N06561,3793339,3753269
N08755,3544549,3543919
N03409,2750738,2842288
N06773,3780559,3780539
N03377,2593058,2587678
N01599,2911868,2893848
N00232,2903368,2748958
N01149,2613018,2608138
N15624,3953081,3953131
N01966,2811178,3184999
N15585,3975751,3977391
N12431,3906121,3906581
N10562,3930121,3930321
N02759,2523568,2748078
N16932,4000941,3920381
N03175,2807988,2642568
N00757,2542238,2542558
N03591,2464218,2513248
N07485,3471699,3393069
N07105,3460179,3460129
N01691,2983858,2985188
N00795,2481538,2481638
N00231,3077758,2517628
N07433,3744389,3743969
N08584,3392709,3393069
N02428,2625688,2750178
N15542,3988671,3988981
N15244,4099071,4103771
N09601,3957361,4000631
N15357,4075541,4075881
N15167,3980051,3980061
N02750,2760998,2761018
N14148,4300251,4301281
N08639,3830341,3829151
N14805,3969851,4072951
N06700,3828981,3826291
N06083,3340679,3341099
N09703,3234329,3234829
N00767,2552698,2550098
N15346,4170891,4152491
N15704,4003521,3956061
N15139,4251441,3976181
N09647,3819051,3819071
N00860,2774368,2774438
N15991,4086881,4025101
N14868,4206331,4205571
N10561,3930141,3930161
N10426,3947441,3947831
N05557,3436239,3386779
N09645,3780859,3780689
N15247,3951301,3951371
N14559,3952151,3952271
N15077,4005231,4005611
N16146,4164201,4164831
N14119,4350061,4170321
N08902,3800399,3715829
N02727,2768018,2468498
N15524,4179351,4088981
N07786,3535599,3578829
N09574,3851531,3852531
N14700,4312941,4314341
N07921,3353049,3353199
N03697,2401097,2079197
N05724,3396139,3640629
N00413,2536788,2538038
N00174,2784488,2820528
N06165,4320571,3393089
N01188,2477008,2477018
N16805,3960591,4376551
N08066,3611799,3419539
N00315,2746238,2531218
N04466,2993198,2911458
N06612,3433079,3812909
N08204,3583959,3689549
N09205,3708739,3708719
N01121,2687288,2686988
N00363,2357477,2474288
N03188,2563568,2523668
N08499,3301479,3301859
N03963,2507318,2511878
N15702,4003481,3927441
N06337,3349999,3350159
N02848,2555038,2605708
N09101,3724749,3770869
N01824,2971878,3231539
N16163,3930131,3930161
N01122,2812418,2605758
N16427,3960081,3960101
N11720,4153091,4428891
N08921,3667789,3554469
N14091,4341671,4392551
N05484,3598939,3665749
N09447,3940901,3941061
N10072,3913921,3910901
N16508,4064011,3975571
N07963,3588729,3596109
N08542,3715249,3258779
N16595,3997001,3995631
N04201,2689428,2689848
N10272,3951051,3954551
N10916,4075661,4075801
N16493,3870901,4025101
N04516,3002378,2911458
N08664,3496769,3496609
N14965,4374541,4374241
N10462,3964951,3978711
N10551,3766779,3766729
N14537,3962671,3979361
N08189,3431709,3431759
N02833,2417397,2594278
N14196,4457241,4457251
N16328,4081561,4082191
N02876,2623848,2596328
N03319,2556848,2538038
N15150,4001541,4001861
N00738,2812358,2522078
N00333,2581648,2453318
N06843,3460799,3590559
N01598,2894058,2893858
N03189,2832788,2523668
N09245,3553029,3259469
N00717,2535258,2537338
N04832,2808338,2903248
N10153,4063661,4063581
N14740,4194631,4013621
N14398,4359971,3976221
N03223,2523468,2523668
N00799,2481508,2509828
N06158,3782159,3789079
N04308,3025938,3000618
N00298,2623488,2623458
N15756,4066371,4066601
N15591,3870851,4154141
N01850,2932688,2932458
N14239,3979151,3978691
N01994,2429848,2833858
N03469,2585778,2587678
N10870,3874291,3985071
N03062,2557058,2748088
N04885,2512558,2911468
N04851,2960818,2779958
N05830,3429599,3490949
N06819,3388859,3255829
N14576,3949261,3949411
N08425,3389559,3387379
N09498,3994791,3995111
N05415,4040251,3379829
N14869,4206381,4066581
N09092,3539069,3538239
N06816,3388049,3388129
N11736,4152251,4108981
N04621,3000488,3023698
N14661,4181161,4418541
N03315,2553398,2629178
N10759,4144341,3910971
N09976,3956601,3994811
N07723,3442169,3477999
N15578,3860941,4013251
N03333,2705028,2553868
N10797,4095181,3925991
N07418,3730389,3450589
N06936,3384549,3353199
N06704,3757069,3542659
N03423,2552718,2629158
N16664,3915411,3976011
N02682,2552258,2765498
N10289,4251411,3896671
N06698,3757119,3757269
N16180,3766699,4041551
N04713,3077758,2524648
N01053,2623698,2896088
N03778,2566138,2493048
N09560,4463141,3836831
N07211,3369519,3463029
N15107,4182041,4182051
N10175,3870421,3976011
N16906,3926321,3915371
N08395,3360479,3638139
N09089,3537919,3393089
N00087,2682658,2802888
N14538,3981761,3979411
N09350,4016691,4032591
N15013,4159961,4109891
N14409,4308921,4176781
N11566,4104391,4104221
N09568,3938531,3836831
N00200,2585628,2756708
N16425,4251401,4000741
N06134,3389249,3534039
N14020,4453581,3906641
N04988,2903308,2538358
N14586,3949581,4004931
N03222,2670168,2523668
N04966,2630668,2952178
N01186,2477028,2690468
N08209,3584449,2936078
N10496,3994781,3994811
N15950,4059401,4054651
N06273,3407219,3408529
N03701,2623478,2623638
N05588,3702969,3706369
N04374,2991798,2904398
N15914,4001081,4000211
N01556,2924088,3023728
N03039,2633698,2707768
N16119,4152751,4154141
N07815,3506849,3508089
N01743,3000548,3000598
N06420,3410079,3414519
N16322,3964951,4000141
N08430,3710519,3710469
N05221,3390239,3390089
N06392,3817591,3764499
N08456,3492059,3490959
N09795,3129498,3019448
N05234,2907978,3077538
N16531,3983061,3926791
N16582,3990761,3990341
N07983,3751929,3754279
N01150,2643788,2608158
N06610,3485699,3812819
N16243,3861371,3861581
N09272,3611629,3663149
N12117,4001041,3999631
N08974,3770309,3770049
N11783,3883981,3969891
N07938,3581949,3599069
N14178,4182161,4151071
N14383,3949271,3949361
N16812,3861061,4032601
N02843,2642008,2557178
N10094,4251411,4063061
N15645,3997541,3995451
N10664,3190139,3190269
N07725,3756859,3756819
N00357,2777368,2777498
N04174,2776088,2755958
N00864,2774408,2774308
N09302,4039701,3450589
N09162,3803799,3430319
N14584,3949591,4151291
N15907,3953321,3953471
N05188,3220999,3221139
N00270,2491218,2749808
N03842,2495318,2605758
N04763,2947408,2896078
N14876,3944631,4066581
N12809,3994791,3994811
N15263,4016321,4016561
N03561,2453388,2453278
N14614,4062161,4061951
N10899,4110811,4109861
N04646,3022578,3023848
N09095,3551289,3537259
N14493,4083871,4082281
N15075,4005211,4005591
N14901,3957601,3961941
N00373,2768628,2768618
N08019,3751489,3790899
N14967,4374551,4066581
N02041,2808228,2723988
N00350,2777548,2777248
N03257,2555078,2707768
N09248,3553169,3715829
N12925,3938521,3976391
N01231,2579198,2903268
N10977,4154881,4154141
N04765,2993608,2935938
N05545,3433069,3432969
N10995,4124831,4124041
N12434,3906151,3970011
N08607,3392989,3689549
N16306,4162421,4105711
N00569,2500468,2500138
N04168,2819038,2523938
N01756,2945558,3173539
N09748,3597869,3539899
N00382,2587248,2588048
N15348,4110881,4089141
N15417,3937591,4164831
N08111,3484249,3554499
N00894,2566158,2565328
N01747,2913888,3042728
N04937,1840083,2928048
N03203,2571388,2605758
N15338,4170901,4170281
N06650,3519179,3379929
N00782,2545928,2546128
N16658,4505531,4505261
N05985,3488789,3387379
N16301,3765839,3765779
N11387,4169121,4156781
N03101,2877258,2487068
N03054,2667218,2555868
N16295,4041581,4041521
N04246,2524498,3123638
N05951,3462389,3486619
N02303,2805128,2542478
N00463,2907558,2784808
N01525,2907778,3186789
N01096,2527238,2527428
N03900,2489608,2488238
N16013,3942251,4006031
N16779,4376701,4376561
N10395,3765789,4082931
N01169,2446358,2756708
N03347,2643588,2642568
N10446,4400261,3836831
N09083,3538219,3538239
N14940,4171371,4464901
N00280,3257219,2493048
N04660,2907828,3183589
N08109,3484269,3554469
N10710,4368771,4366641
N05857,3762089,3801299
N01204,2741598,2755958
N00616,2503818,2617528
N02417,2720508,2720868
N16735,3938461,3956711
N02580,2687278,2686998
N04453,2538208,2762618
N06135,3389259,3534039
N01919,2526488,2526498
N00881,2569918,2613668
N08212,3584579,2936078
N15800,3926301,4019761
N00166,2614958,2865268
N08785,3766559,3766539
N06246,3497119,3476579
N07640,3800159,3800039
N10246,3937101,3836831
N11399,3861251,4034711
N07237,3369839,3339409
N16624,3969811,3956501
N05858,3762139,3762259
N16827,3938441,3940611
N11709,4124671,4124471
N00031,2808438,2503898
N15153,4001841,4001931
N09087,3551289,3570059
N05856,3762079,3762259
N16736,3940201,3920661
N14475,4251331,4251661
N10202,4153751,4153681
N02015,2552518,2544798
N08712,3367689,3367679
N02586,2630168,2714108
N08759,3544409,3543919
N09159,3430469,3430149
N16905,3957441,3957931
N15050,4236081,4193401
N03724,2831448,2605758
N00540,2753208,2790468
N15181,3979921,3980241
N15573,3989211,3969891
N08605,3392939,3393139
N16538,3906061,3906581
N01412,3084908,2988488
N11789,4083481,4137231
N11851,4271771,3925991
N00070,2609028,2605738
N07053,3376109,3377979
N10667,3028318,2925878
N06841,3460759,3599069
N15351,4103011,4105781
N04915,2865128,2724088
N00887,2643538,2596288
N11497,4145691,4154501
N15238,4144461,3910911
N11258,4251401,4014011
N03735,2614958,2594278
N12914,3957761,3958001
N15515,3956761,3959761
N16479,4205541,4205721
N06822,3388029,2987098
N16168,3930031,3930071
N08757,3544199,3543919
N00293,2492818,2492998
N15631,4096061,3897171
N16922,3957081,4000631
N03369,2429308,2430248
N15598,4182871,4183511
N15079,4005751,4005511
N08040,3589259,3754379
N06149,3599149,3599069
N04773,2884788,2935938
N09649,3024228,3433339
N01139,2475928,2475918
N08545,3352269,3352479
N05670,3397069,3397129
N14618,4090691,4090511
N08484,3629969,3630029
N01383,3282079,2903248
N14191,4457231,4457211
N15433,4251401,4013961
N01760,2851428,2988468
N16379,3956431,3957171
N16625,3959671,3956821
N15228,4183691,4185201
N10285,3957671,3956851
N00556,2624388,2624608
N00711,2811898,2944348
N06660,3379449,3463029
N14208,4155441,4251671
N15319,3926051,3957871
N10458,3861251,4016981
N00984,2884808,2991828
N01052,2623688,2811568
N07682,3021138,3433369
N02483,2783918,2842258
N15025,4119281,4152081
N01735,3193519,3193599
N00785,2801928,2804128
N00851,2593138,2587598
N09933,3906511,3970011
N15104,4151081,4151121
N02321,2636038,2500958
N14207,4155431,4039951
N15789,4083481,4014051
N07444,3744689,3743969
N00082,2320207,2320247
N08764,3598939,3578839
N02674,2545688,2553208
N00094,2549538,2549398
N16440,3869171,3940481
N14501,4247271,4248171
N02498,2796248,2553208
N03676,2512418,2512438
N04110,2503068,2639448
N15737,4171771,4478701
N03182,2552908,2724088
N00655,2945168,2945438
N09706,3240749,3196409
N00506,2985168,2808548
N14908,3962511,4464861
N16097,3975481,4036601
N12926,4000941,3999631
N01034,3168349,2727388
N14582,4407811,3949341
N00265,2497018,2487058
N16410,3959901,3959941
N01796,2940598,3014818
N05368,3784429,3784709
N00251,3252839,3252819
N11727,4087331,4025101
N08466,3514259,3490959
N09651,3736169,3774879
N15647,3997591,3926791
N06540,3802039,3789529
N04796,2895988,2730988
N15516,3880051,3969051
N04025,2571428,2562708
N06555,3792979,3793059
N14887,4068441,4069321
N01116,2818288,2786168
N10987,3875121,4188511
N00090,2478138,2489938
N06778,3500689,3689549
N00640,2518318,3559699
N03104,2643548,2503898
N00457,2511958,2511888
N06152,3598989,3599069
N00653,2634968,2783508
N14040,4378911,4381821
N11288,3991561,4444111
N15600,4175151,4183511
N06647,3519299,3519769
N00348,2785198,2777728
N05161,2563698,2512448
N16596,3997011,3995851
N15428,4127301,3976011
N02432,2877758,2913098
N03644,2542318,2542348
N16535,4152211,4152081
N14159,3897031,3927031
N10409,4041611,4041551
N09056,3610639,3367659
N06331,3621629,3350189
N15120,4068811,4069351
N16502,4063851,4063591
N11148,3988621,3989281
N02755,2824148,2765478
N04583,2909528,2997818
N04068,2463498,2463548
N16829,4021101,3940481
N06762,3461909,3563089
N01703,3022138,3023698
N16755,3926741,3926781
N05450,3703529,3704359
N09502,3994571,3994931
N10151,4063861,3970011
N14212,4154761,4156101
N03157,2568788,2748108
N15325,3940281,3956721
N08977,3770239,3770029
N01989,2757118,2544798
N14173,4391671,4082931
N08831,3321009,3639489
N04236,2916998,2917098
N11643,3964951,3851081
N06962,3483819,3534019
N03485,2545918,2320247
N03601,2582008,2579488
N10654,3205969,3206119
N16889,3851531,3852171
N15525,4087571,4183481
N09161,3803779,3430339
N01835,3153128,2961768
N06126,3788239,3782199
N07231,3551899,3520759
N00274,2895928,2730988
N11260,4195881,4143881
N01839,3002708,3002878
N06889,3372439,3599069
N07169,3398889,3362669
N02779,2830268,2778398
N10925,4275751,4238931
N05681,3396739,3396839
N14625,4071801,4072571
N11463,4021101,4337451
N06223,3361979,3426309
N01242,2594258,2594298
N15208,3816979,3817059
N15160,4189731,4066601
N07168,3398939,3362739
N07067,3768249,3767799
N03529,2513008,2453308
N12643,3947951,3941321
N15036,4161951,4165161
N16323,3927401,3999761
N00622,2783678,2824228
N10503,4090771,4089921
N15055,4229901,4152231
N11068,3961761,3972891
N15995,4481791,4164831
N03821,2743188,2865968
N15155,3919381,3919321
N00548,2951088,2936078
N10600,4016331,4016631
N01841,2950778,2987958
N00903,2782408,2781478
N16933,3800539,3799899
N00985,2592878,2596288
N07172,3690239,3698049
N01015,2645678,2645738
N05953,3507219,3499049
N05548,3637029,3637279
N06842,3460769,3486619
N15719,4071641,4072481
N11645,3955121,3851221
N11455,3949121,4014141
N08768,3762789,3763079
N08890,3471209,3379849
N16105,4146391,3976201
N15791,4000871,4053141
N06121,3788229,3782289
N04510,2948348,2938658
N10137,3966381,3966601
N14186,3928141,3927521
N03282,2796538,2587678
N10597,4016731,4016501
N02367,2538338,2833128
N07700,3582309,3393089
N15977,3953111,3952991
N00529,2810868,2811388
N14348,4417281,4417031
N06729,3543669,3440029
N08308,3754349,3362739
N09674,3221959,2993788
N00260,2762708,2749838
N08082,3554239,3554879
N02640,2584148,2555868
N00366,2818808,2816558
N14542,3979071,3979431
N08454,3734959,3755739
N00642,3027488,3077538
N00678,2507428,2511878
N03067,2744728,2596328
N04792,2753778,2494818
N16484,3870281,3870771
N10407,4041601,4041551
N09847,3480139,3200069
N14396,4359941,3976221
N15342,4170881,4170321
N16446,4149501,3910931
N04654,2477158,2476788
N11357,3906201,4153881
N09558,3885761,3836831
N12878,3836791,3836801
N08539,3707479,3715829
N15242,4194231,4036601
N06549,3792879,3793019
N06923,3598989,3397199
N14211,4154751,4039951
N02287,2748198,2511078
N00005,2635948,2787448
N04793,2895998,2454648
N06116,3568449,3789589
N14296,4176761,3988301
N16241,3860411,3861551
N16583,3990091,3990361
N10253,3959501,3959601
N03171,2566178,2546988
N06869,3502569,3334089
N00838,2552398,2667438
N11007,3951041,3951421
N09120,3399029,3491649
N11765,3943201,4154141
N10599,4016641,4016631
N09237,3563389,3661109
N09642,3698649,3698779
N09452,3953531,3953521
N02109,2552518,2605758
N14198,4457221,4457211
N06261,3407209,3404949
N15765,4218861,4096131
N02332,2538208,2833128
N06127,3788229,3782209
N05964,3484269,3370149
N00690,2792208,2747998
N00843,2796248,2790278
N06281,3407339,3415069
N16737,3940211,4013981
N04568,2503088,2935938
N11049,4159241,4159251
N07143,3406579,3584089
N07915,3352879,3353209
N15713,4071781,4072671
N03052,2552388,2555298
N02443,2631568,2631328
N05197,2971158,3671619
N01759,3065088,2851448
N00932,2819028,2515468
N08577,3701789,3701959
N14795,4095011,4093481
N15292,4253131,4253231
N07582,3695779,3434039
N00979,2706768,2757538
N04743,2542358,2804978
N15366,4238091,4152221
N03586,2478228,2542348
N16775,4001091,4000331
N05236,3234479,2923698
N15427,3951021,3954551
N15388,4176321,4152081
N16443,3869401,3940441
N09778,3221729,2909558
N08845,3764349,3764769
N16245,3861241,3861921
N09326,3785539,3649329
N15326,3938601,3956681
N03258,2706978,2605708
N07175,3690189,3698049
N15735,4155031,4478701
N09499,3994571,3995091
N04243,3036848,2950348
N03050,2552578,2553868
N00962,2779348,2780278
N09591,3925361,3925511
N00459,2787478,2513248
N15722,4071671,4072681
N11498,4145711,4104241
N01610,3003168,3167679
N01788,2904388,2935938
N15507,4275751,4276141
N15676,4154891,4428871
N10954,4176731,4154141
N00862,2774248,2935938
N10343,4081561,4082921
N14555,3952161,3952251
N16828,3933011,3933251
N04604,2810218,2811388
N06696,3298079,3545849
N09711,3227329,3232979
N03233,2477038,2690468
N15138,4524091,4384421
N15581,3938531,3940491
N03139,2553328,2135167
N04954,2795038,3001978
N03731,2495238,2743198
N04254,2884778,2884358
N08229,3728839,3729199
N10642,3233979,3234089
N15011,4121361,4000021
N08200,3584369,3377979
N16771,4001001,3999641
N08145,3471209,3471449
N00739,2522278,2522098
N06941,3384459,3365299
N08888,3669709,3380019
N10134,3966341,3966611
N11220,4153091,4428981
N14033,4379091,4382251
N00388,2835768,2521158
N09798,3121048,2950618
N11656,3955121,3926781
N02248,2783728,2596328
N14682,4245561,4245721
N00774,2552748,2544778
N09523,3940211,3988261
N07233,3525159,3377979
N04318,3064238,3037728
N07090,3786469,3786299
N16385,3979911,3980461
N10433,3947311,3926781
N14794,4094251,4104291
N00250,2706968,2707558
N01949,2555038,2544798
N10527,4251401,4021421
N02030,2765368,2820628
N04785,2884568,2884438
N02149,2818978,2752518
N09665,3726659,3726819
N09755,3056278,3014858
N15511,4275751,4319821
N14389,4165491,4223401
N01282,2911178,3041978
N03048,2587558,2555298
N05558,3436239,3386789
N00504,2808338,2503928
N01702,3021858,3539919
N06311,3598939,3621999
N16287,3964951,4000361
N00494,2499978,2500208
N01190,2477108,2690468
N09734,3205829,3206119
N00995,2462018,2462058
N07750,3497729,3367659
N04294,2593138,2961528
N04942,2770228,2944368
N15980,3955121,4020361
N15045,3978891,3978691
N09931,3906501,3926781
N05604,3384239,3386199
N00769,2714638,2816588
N16418,3960791,4418541
N16022,3955811,4436221
N01399,2900178,2903918
N14108,4165821,4436221
N08791,3540379,3540309
N02024,2741558,2335357
N14553,3952041,3952281
N08734,3709549,3802459
N11110,4275781,4275831
N06290,3406859,3578789
N16853,3910381,3910521
N06415,3409929,3410789
N04978,2614958,2952268
N06163,3704729,3393089
N16309,4103751,4104461
N04956,2907548,2908858
N14297,4176641,4013951
N00789,2553938,2799118
N11753,4251441,4005551
N15659,4444221,3897001
N10506,4090001,3981831
N14685,4245601,4245731
N07032,3376669,3377949
N08409,3788359,3788599
N16166,3930111,3930151
N01563,2823958,2811478
N08420,3788369,3788529
N00836,2623858,2623458
N06560,3795029,3793389
N06676,3519019,3379859
N02581,2824288,2547168
N15459,3784139,4428911
N08021,3592569,3593119
N09457,3910571,4025101
N04600,3002698,3002728
N16271,3947171,3947761
N01889,2742888,2343497
N03022,2811308,2810668
N15601,4167751,4183481
N16656,4471181,3940431
N15964,3961771,3978671
N06564,3795399,3798059
N15898,4103451,3928291
N10113,3943141,3943551
N16463,3930401,3995891
N00829,2556518,2617698
N10947,4247511,4236011
N08632,3829081,3829151
N09541,3813159,3813799
N00648,2607318,2785298
N14218,4170201,4034711
N08275,3739509,3739469
N15668,3861151,3861911
N04295,3059698,2911458
N04620,3004718,2902628
N09449,4251621,3941161
N07508,3471309,3455799
N15212,3816919,3817019
N05252,3689119,3689549
N11611,3991721,3993111
N06442,3700599,3790879
N01496,3034128,3184009
N16873,3884061,4032051
N14500,4247231,4247351
N08614,3701449,3801309
N01631,2923068,2988488
N00718,2774958,2727388
N07506,3471239,3430149
N10261,3960611,3581599
N01391,2920638,2908588
N09863,3236439,3226469
N16891,3915361,3925511
N03627,2564618,2564698
N02670,2555058,2639448
N09540,3813149,3813789
N07119,3641549,3735399
N03733,2882208,2953098
N14344,4417191,4016471
N15617,4210771,3956501
